Network_I(Intel R _82574L_GNC) Current Bandwidth,Network_I(Intel R _82574L_GNC) Packets Sent sec,Memory Pool Paged Bytes,LogicalDisk(_Total) Disk Read Bytes sec,Memory Page Reads sec,Network_I(Intel R _82574L_GNC) Packets Sent sec.1,Memory Modified Page List Bytes,Process_IO Data Operations_sec,LogicalDisk(_Total) Avg  Disk Bytes Transfer,Processor_pct_ Processor_Time,Label
1000000000,3.29992232,145383424,0.0,0.0,3.29992232,10223616,20.59951509,37494.15385,5.861610787,2
1000000000,4.892467166,201068544,1226.91095,0.299538806,4.892467166,3698688,0.0,4681.142857,10.21632721,0
1000000000,4.200094053,270385152,331527.4239,32.30072331,4.200094053,466944,203.1045481,15356.6645,66.32782229,0
1000000000,148.8464436,120299520,1954880.614,68.27543382,148.8464436,8503296,1365.008856,27161.56956,50.86049538,0
1000000000,18.92965065,125489152,29127.22372,1.001568817,18.92965065,34279424,15.9249442,11724.8,8.606454556,5
1000000000,4.907543483,201486336,0.0,0.0,4.907543483,12718080,0.0,7372.8,9.39165153,0
1000000000,4.400172399,105369600,150329.0899,2.900113626,4.400172399,6262784,0.900035263,53363.80952,32.26287894,0
1000000000,8.200123986,100306944,0.0,0.0,8.200123986,18739200,0.400006048,6144.0,22.57682894,0
1000000000,132.0978772,169504768,0.0,1.599974288,132.0978772,19640320,104.4983207,12643.55556,39.61080019,5
1000000000,2.999897374,145915904,6553.375809,0.0,2.999897374,10100736,20.0993124,32256.0,11.95597322,2
1000000000,25.26116778,143671296,6543.541072,0.399386052,25.26116778,9003008,20.96776772,24490.66667,33.38367726,5
1000000000,2.995498066,147304448,0.0,0.0,2.995498066,14200832,24.36338427,22937.6,4.595484756,2
1000000000,5.200074153,105377792,25395.56214,0.600008556,5.200074153,258048,0.100001426,69549.73961,30.07742857,0
1000000000,5.299827968,105861120,409.5867048,0.099996754,5.299827968,10301440,6.999772787,5911.272727,23.1277282,0
1000000000,2.798908957,123895808,0.0,0.499805171,2.798908957,14868480,36.58573851,29491.2,15.43759064,2
1000000000,3.100243307,123383808,0.0,0.0,3.100243307,16842752,17.9014049,32182.85714,9.44521729,2
1000000000,2.99997369,146243584,0.0,0.0,2.99997369,10076160,23.69979215,9830.4,8.203818061,2
1000000000,10.49979609,153751552,6553.472732,0.0,10.49979609,19791872,1.399972813,42852.67416,34.76736997,4
1000000000,0.698981528,206786560,0.0,0.0,0.698981528,32563200,115.0323886,19309.71429,4.056031966,3
1000000000,136.7363568,194940928,0.0,2.000531921,136.7363568,21520384,91.624362,10903.21244,38.5009421,5
1000000000,2.496086835,145653760,0.0,0.0,2.496086835,958464,19.36963384,22937.6,9.204061763,2
1000000000,2.601647806,105365504,0.0,0.0,2.601647806,15867904,0.200126754,10649.6,23.38929425,7
1000000000,3.999902202,137158656,1528589.826,85.8978998,3.999902202,4321280,7.499816629,18295.79097,38.048189,0
1000000000,19.59966818,162119680,0.0,0.099998307,19.59966818,22188032,5.899900115,15433.14286,52.50145203,4
1000000000,3.100330681,123228160,1255813.945,52.50560025,3.100330681,10006528,23.50250678,23710.79699,22.72699466,2
1000000000,5.000230311,105705472,109368.2375,3.400156611,5.000230311,176128,3.900179642,45517.52113,42.41909615,0
1000000000,3.805862607,205705216,823386.7572,92.34224537,3.805862607,4489216,98.55181068,13205.26143,22.22482476,0
1000000000,292.8917553,143400960,223044.5792,7.107079504,292.8917553,19468288,4566.048332,27194.06186,76.32893266,4
1000000000,7.799937523,99479552,0.0,0.0,7.799937523,11681792,3.599971164,6963.2,23.28243529,0
